field0,field1,field2,field3
44,0.859112779394,0.215754362284,0.49303661111
45,0.292890409964,0.706781936043,0.106833171781
46,0.0199138498804,0.673888722397,0.447643311079
47,0.749231670284,0.578955706748,0.847946566495
48,0.34986253793,0.203013843248,0.466532254337
49,0.195833283041,0.155698229307,0.821640847947
50,0.513591598703,0.893759739903,0.498714870752
51,0.812560071095,0.807231729308,0.831994610403
52,0.822745686687,0.253814742085,0.449362460264
53,0.38506913884,0.997742856025,0.302873825686
54,0.477812593523,0.870491263231,0.978304978704
55,0.00497956530947,0.627188279703,0.676442838003
56,0.108903057767,0.510849213865,0.316817232744
57,0.250942289954,0.611252359509,0.496390502469
58,0.395579304972,0.0152072179718,0.401672724951
59,0.44224789543,0.389828691502,0.833658375674
60,0.00892152704513,0.299017087913,0.278044887149
61,0.337264496481,0.929647721979,0.521550043383
62,0.713034759006,0.036547364825,0.367884909982
63,0.255300195879,0.247946240989,0.180063036941
64,0.64642907654,0.239714842676,0.441819939801
65,0.771481482514,0.530031587574,0.915316253839
66,0.418872017346,0.26576841527,0.84779263376
67,0.409797882278,0.924122043402,0.654444182698
68,0.271077624013,0.518324487824,0.889249033451
69,0.605564936425,0.841436165865,0.135093407728
70,0.466642815885,0.808817701673,0.903890807867
71,0.266463315046,0.543536701396,0.90620560588
72,0.459175588865,0.48809222726,0.468362290746
73,0.1407979444,0.078616759792,0.46729075367
74,0.378849195027,0.153594975073,0.182032101254
75,0.295281488537,0.540224065251,0.187245629291
76,0.39399847919,0.455283773703,0.992197394421
77,0.337138745861,0.376188883979,0.765138628011
78,0.916038816215,0.704840172403,0.538733643227
79,0.804295142561,0.827433670996,0.304315844218
80,0.471830579311,0.312498645294,0.958502335765
81,0.273892928516,0.193260938091,0.385723524572
82,0.739648092193,0.246318222607,0.850073442409
83,0.652653127941,0.972041841792,0.339799315187
84,0.15322806717,0.123468396921,0.213123070932
85,0.121985390634,0.93452247261,0.044180227033
86,0.301581744764,0.305720757339,0.913659892207
87,0.844308158098,0.258124759727,0.729456188924
88,0.224680646476,0.84001492048,0.690419614435
89,0.881761780858,0.943911524321,0.124068857348
90,0.0696947443979,0.512281258977,0.350369279213
91,0.0411535335591,0.651844314811,0.0206102866332
92,0.880917048915,0.724402841445,0.584547276421
93,0.437704348183,0.889922189288,0.736579286217
94,0.635107924524,0.948494163571,0.0311353539041
95,0.528801643338,0.690175109303,0.482027553936
96,0.867369924535,0.085152624055,0.862190338737
97,0.790536335397,0.0849341860309,0.536122604426
98,0.872413273559,0.0622981238553,0.662423218453
99,0.554469091559,0.869493475668,0.888415797643
100,0.0982397167813,0.633401711855,0.847504607404
101,0.633560660787,0.834947400211,0.985813274091
102,0.792005534745,0.304297472569,0.827160407335
103,0.892781385933,0.472785399372,0.418172819741
104,0.999566381399,0.554850590502,0.825708784864
105,0.74131806783,0.684449595195,0.640244681755
106,0.246815455072,0.55947438818,0.75030780278
107,0.357935050115,0.369124613563,0.0381589385677
108,0.521394627936,0.553339787156,0.521872899635
109,0.116213548495,0.211220070208,0.271569830633
110,0.654367853458,0.151025163179,0.160308996777
111,0.461555168063,0.958876192437,0.808312305523
112,0.375460108505,0.43248524906,0.133927240297
113,0.44412100171,0.0557736135496,0.415110710674
114,0.828181391081,0.879387252759,0.566110561228
115,0.965934508107,0.031964959009,0.772451959693
116,0.182190505165,0.880747755139,0.862842940564
117,0.225606069929,0.758152842381,0.0439138313246
118,0.77300819487,0.217487094526,0.884730406438
119,0.0323809438432,0.338547991518,0.0500643953163
120,0.908794627683,0.15677860473,0.981353288568
121,0.651042650411,0.030216383641,0.510130902638
122,0.422233984138,0.551833147347,0.355644375649
123,0.772401039352,0.966626648286,0.337332507491
124,0.762561170587,0.862900697779,0.397092628273
125,0.703252616615,0.00142780632237,0.319473288975
126,0.0832334607648,0.103690758326,0.889077419568
127,0.399390674116,0.527958821901,0.244105809308
128,0.889444888031,0.879260572794,0.200735837562
129,0.0816601815277,0.584171249405,0.552169134213
130,0.25795157602,0.811769480847,0.154874604682
131,0.463638077669,0.0198083193637,0.653295899814
132,0.275413808819,0.677423813283,0.332420230028
133,0.0999498785497,0.282724454976,0.150456043103
134,0.263919346207,0.829015231523,0.133039201528
135,0.0608526843692,0.223276146591,0.420521340056
136,0.364286679901,0.522741217086,0.497517458231
137,0.505888295118,0.338401129612,0.408685724074
138,0.121965009052,0.903463835089,0.208301414681
139,0.637418413672,0.855755533047,0.247343873579
140,0.944452856982,0.296100617383,0.849635252283
141,0.720938011379,0.35948310777,0.625089161992
142,0.498544276388,0.139491246331,0.289093930866
143,0.520836761955,0.0779753864831,0.468945505078
144,0.323647617068,0.875109025533,0.191149361144
145,0.543491038567,0.414138985348,0.131152357181
146,0.79100171877,0.763135123726,0.778119810292
147,0.0839192126482,0.729575693927,0.841421147381
148,0.785218804983,0.521896918236,0.120082180675
149,0.786570025709,0.704462053545,0.581184768474
150,0.992892398453,0.637808426855,0.130061868125
151,0.938592211064,0.544437626934,0.0310887761122
152,0.878471379203,0.737587041949,0.530060269882
153,0.687215862606,0.205114224158,0.642200747399
154,0.929850414083,0.844482633001,0.413417603713
155,0.5396127995,0.796665724742,0.230842017949
156,0.715430571476,0.272091295557,0.827623663056
157,0.784928155312,0.315382037428,0.279106891315
158,0.419111362287,0.142682388207,0.287540936495
159,0.343588317597,0.0941310828187,0.215183282886
160,0.107630552345,0.498661473361,0.815360330673
161,0.706420020161,0.0967693990568,0.999918469516
162,0.504080748432,0.857439067451,0.841817049436
163,0.259891968741,0.843550744762,0.263942783194
164,0.657568769932,0.922929089664,0.614394825792
165,0.952145355074,0.0597707965157,0.222834979195
166,0.322580526334,0.864623343822,0.536763505457
167,0.602775351774,0.970847743625,0.438607130167
168,0.123850014131,0.724602576536,0.603931400145
169,0.408345198016,0.698102937208,0.566648789228
170,0.618657393846,0.746417741129,0.288882469392
171,0.166022324233,0.709293545132,0.0834989030488
172,0.0127489986665,0.0599444450003,0.0918040224082
173,0.797159378166,0.22972458874,0.189916467386
174,0.612181221791,0.637914030662,0.881864855394
175,0.24855199744,0.131932428843,0.620078819275
176,0.0593615452496,0.364771479294,0.893478173487
177,0.0308355629123,0.00319906648271,0.0587442339328
178,0.814880836399,0.168856406182,0.855577021219
179,0.618356456461,0.153532553458,0.776437615551
180,0.914801244854,0.940758938146,0.289000153893
181,0.817240166855,0.812098634786,0.135406806127
182,0.687504620387,0.887492464331,0.251541168489
183,0.371888035128,0.534926219893,0.647274696779
184,0.780526122193,0.590353066149,0.669049041705
185,0.958574584414,0.378907844608,0.565590567084
186,0.200029114902,0.73522425374,0.526074951982
187,0.283049029216,0.614660613615,0.495513258668
188,0.714021663596,0.757840724452,0.342657580803
189,0.0261628259725,0.654375433681,0.546914254786
190,0.475386783987,0.919603018329,0.822352189544
191,0.564929840951,0.942176784153,0.00785534094036
192,0.199208927959,0.30183108739,0.618166523353
193,0.195469478502,0.957617025753,0.35334150572
194,0.68968861614,0.509696627033,0.233099473049
195,0.224224860838,0.79978762697,0.565613394765
196,0.959826049141,0.318630190598,0.228751296359
197,0.781271901455,0.339141422111,0.0661993560376
198,0.867177753761,0.6980949885,0.357999067883
199,0.101660324355,0.612879341133,0.48250385464
